576	1152	1152	576	576	576	288	1152	2304	2304	2304	2304	1152	2304	576	2304	1152	1152	1152	2304	1152	576	2304	2304	2304	1152	1152	2304	1152	1152	1152	2304	1152	2304	2304	576	2304	1152	2304	1152	2304	1152	288	1152	1152	576	1152	576	576	-0.741191	
288	576	576	1152	1152	576	288	576	1152	1152	1152	2304	1152	1152	576	1152	2304	1152	1152	1152	2304	576	2304	2304	1152	2304	2304	2304	576	2304	2304	2304	1152	2304	2304	1152	1152	1152	2304	1152	1152	1152	288	576	576	1152	576	576	576	-0.688641	
288	576	576	1152	576	576	288	1152	2304	1152	1152	2304	1152	2304	1152	1152	2304	1152	2304	2304	1152	576	1152	2304	1152	1152	1152	1152	576	1152	2304	2304	1152	2304	2304	576	2304	1152	2304	1152	2304	1152	288	1152	1152	1152	576	576	576	-0.656633	
288	1152	576	576	576	576	576	1152	2304	1152	1152	1152	2304	1152	576	2304	1152	2304	1152	1152	2304	1152	2304	2304	2304	1152	1152	1152	576	1152	2304	1152	2304	1152	1152	1152	2304	2304	1152	1152	1152	1152	288	1152	576	576	576	576	576	-0.669857	
288	576	576	576	1152	1152	288	1152	2304	1152	2304	1152	1152	1152	1152	1152	2304	1152	2304	1152	1152	1152	2304	2304	1152	1152	2304	2304	1152	1152	1152	1152	2304	1152	2304	576	2304	1152	2304	1152	1152	2304	288	576	1152	1152	576	576	576	-0.784986	
288	576	1152	1152	576	576	288	576	1152	2304	1152	2304	2304	1152	1152	2304	2304	1152	2304	1152	2304	1152	1152	2304	2304	2304	1152	1152	576	1152	2304	1152	2304	1152	2304	576	1152	1152	2304	2304	1152	2304	576	1152	576	576	576	576	288	-0.692683	
576	1152	1152	576	576	1152	288	576	1152	1152	1152	2304	2304	2304	576	2304	1152	2304	1152	1152	2304	576	1152	2304	2304	1152	2304	2304	576	1152	2304	1152	1152	1152	1152	576	2304	1152	2304	1152	2304	1152	576	576	1152	1152	576	1152	576	-0.766695	
576	1152	576	576	1152	1152	288	576	1152	1152	1152	2304	2304	1152	1152	2304	2304	1152	1152	2304	2304	1152	2304	2304	1152	1152	1152	1152	1152	2304	2304	1152	1152	2304	1152	576	2304	1152	2304	2304	2304	2304	576	1152	1152	576	1152	1152	576	-0.769508	
576	576	1152	1152	1152	576	288	576	2304	1152	2304	1152	2304	2304	576	2304	1152	1152	2304	2304	1152	576	2304	2304	1152	1152	1152	1152	1152	2304	2304	2304	1152	1152	2304	576	1152	2304	2304	2304	1152	1152	576	576	1152	576	1152	1152	576	-0.772339	
576	1152	576	1152	1152	576	288	576	2304	1152	1152	2304	2304	2304	1152	1152	1152	1152	2304	1152	1152	1152	1152	2304	2304	1152	2304	1152	1152	2304	1152	1152	2304	1152	2304	1152	1152	2304	2304	1152	1152	2304	576	576	1152	576	576	576	576	-0.756057	
288	576	1152	576	576	576	288	576	2304	2304	1152	1152	1152	2304	1152	1152	2304	2304	2304	1152	2304	576	1152	2304	2304	1152	2304	1152	1152	2304	1152	1152	2304	1152	1152	1152	1152	1152	2304	1152	1152	2304	288	576	576	1152	576	576	288	-0.678591	
288	576	576	576	576	1152	576	576	2304	1152	1152	2304	2304	1152	1152	1152	1152	2304	1152	2304	2304	576	2304	2304	1152	1152	2304	2304	576	2304	2304	1152	2304	1152	1152	576	1152	2304	1152	2304	2304	2304	288	576	1152	1152	1152	576	576	-0.707373	
288	576	1152	576	1152	1152	288	1152	1152	2304	2304	1152	1152	2304	1152	1152	2304	2304	2304	2304	2304	1152	1152	2304	1152	1152	1152	1152	1152	1152	2304	2304	1152	1152	2304	576	2304	2304	1152	1152	2304	2304	288	576	1152	1152	576	1152	288	-0.710163	
576	1152	576	576	1152	1152	288	576	2304	2304	1152	1152	2304	2304	1152	1152	2304	2304	1152	2304	2304	576	2304	2304	1152	2304	2304	1152	1152	2304	1152	2304	1152	2304	2304	576	1152	1152	1152	1152	1152	1152	576	576	1152	576	576	1152	288	-0.753029	
576	1152	576	1152	576	576	288	576	2304	2304	2304	1152	2304	1152	576	1152	1152	2304	1152	1152	2304	576	2304	2304	2304	1152	2304	1152	1152	1152	2304	2304	2304	1152	2304	1152	2304	2304	1152	1152	2304	2304	288	576	1152	576	576	1152	576	-0.729383	
288	1152	1152	576	576	576	576	576	2304	1152	1152	1152	2304	1152	1152	2304	1152	2304	2304	2304	1152	1152	1152	2304	1152	1152	2304	2304	1152	2304	2304	1152	1152	2304	2304	1152	2304	1152	1152	2304	2304	2304	576	1152	1152	576	576	576	288	-0.688501	
288	1152	576	576	576	576	288	576	1152	1152	1152	2304	1152	2304	576	2304	1152	2304	1152	2304	2304	576	1152	2304	2304	1152	2304	2304	1152	1152	2304	2304	2304	2304	1152	576	2304	2304	2304	1152	1152	2304	288	576	1152	1152	1152	576	576	-0.695519	
288	576	576	576	576	576	288	1152	2304	1152	1152	2304	2304	2304	576	1152	2304	1152	2304	1152	1152	1152	2304	2304	2304	2304	2304	1152	1152	1152	1152	1152	2304	1152	2304	576	2304	2304	1152	2304	1152	1152	288	576	1152	576	1152	1152	576	-0.782209	
576	1152	576	1152	576	1152	576	1152	1152	1152	1152	2304	1152	2304	1152	1152	2304	2304	1152	1152	1152	576	1152	2304	1152	2304	2304	2304	1152	1152	1152	2304	1152	2304	2304	1152	2304	1152	1152	2304	1152	2304	288	1152	576	576	1152	576	288	-0.653839	
576	576	576	576	576	1152	576	576	1152	2304	1152	2304	1152	1152	1152	1152	1152	1152	2304	2304	1152	1152	1152	2304	1152	1152	2304	2304	576	1152	1152	1152	2304	1152	2304	1152	1152	1152	1152	1152	2304	2304	288	1152	576	1152	576	1152	288	-0.643172	
288	576	1152	1152	1152	576	576	576	2304	1152	2304	2304	1152	1152	576	2304	1152	2304	1152	1152	2304	576	1152	2304	1152	1152	2304	2304	576	1152	2304	2304	2304	2304	2304	576	2304	1152	1152	2304	2304	2304	288	576	1152	576	1152	576	576	-0.736537	
288	1152	1152	1152	576	1152	576	576	1152	2304	1152	1152	2304	1152	576	2304	1152	2304	2304	2304	1152	576	1152	2304	1152	1152	1152	2304	1152	1152	1152	1152	2304	2304	1152	576	1152	1152	2304	2304	2304	1152	288	576	1152	1152	1152	1152	288	-0.670113	
288	1152	1152	576	576	1152	576	1152	1152	2304	2304	1152	2304	2304	1152	1152	1152	2304	2304	1152	2304	576	1152	2304	1152	2304	2304	2304	576	2304	2304	2304	1152	1152	1152	576	1152	2304	1152	2304	2304	1152	576	1152	1152	1152	576	1152	576	-0.692343	
288	1152	576	576	576	576	288	1152	2304	1152	1152	2304	2304	1152	576	1152	2304	2304	2304	2304	2304	576	2304	2304	1152	2304	2304	1152	576	1152	1152	2304	1152	1152	1152	576	2304	2304	1152	2304	2304	1152	576	576	1152	576	1152	1152	576	-0.765259	
